county,office,district,Edward Scott Rigell,candidate,votes,state,,
Apache,U.S. House,1,DEM,Ann Kirkpatrick,15539,AZ,,
Apache,U.S. House,1,REP,Andy Tobin,5242,AZ,,
Coconino,U.S. House,1,DEM,Ann Kirkpatrick,23035,AZ,,
Coconino,U.S. House,1,REP,Andy Tobin,13561,AZ,,
Gila,U.S. House,1,DEM,Ann Kirkpatrick,3165,AZ,,
Gila,U.S. House,1,REP,Andy Tobin,2357,AZ,,
Graham,U.S. House,1,DEM,Ann Kirkpatrick,2367,AZ,,
Graham,U.S. House,1,REP,Andy Tobin,4748,AZ,,
Greenlee,U.S. House,1,DEM,Ann Kirkpatrick,925,AZ,,
Greenlee,U.S. House,1,REP,Andy Tobin,960,AZ,,
Maricopa,U.S. House,1,DEM,Ann Kirkpatrick,121,AZ,,
Maricopa,U.S. House,1,REP,Andy Tobin,28,AZ,,
Mohave,U.S. House,1,DEM,Ann Kirkpatrick,93,AZ,,
Mohave,U.S. House,1,REP,Andy Tobin,51,AZ,,
Navajo,U.S. House,1,DEM,Ann Kirkpatrick,13989,AZ,,
Navajo,U.S. House,1,REP,Andy Tobin,13041,AZ,,
Pima,U.S. House,1,DEM,Ann Kirkpatrick,15330,AZ,,
Pima,U.S. House,1,REP,Andy Tobin,20837,AZ,,
Pinal,U.S. House,1,DEM,Ann Kirkpatrick,17959,AZ,,
Pinal,U.S. House,1,REP,Andy Tobin,21390,AZ,,
Yavapai,U.S. House,1,DEM,Ann Kirkpatrick,4868,AZ,,
Yavapai,U.S. House,1,REP,Andy Tobin,5508,AZ,,
Cochise,U.S. House,2,DEM,Ron Barber,14682,AZ,,
Cochise,U.S. House,2,NONE,Sampson U. Ramirez,2,AZ,,
Cochise,U.S. House,2,REP,Sydney Dudikoff,5,AZ,,
Cochise,U.S. House,2,REP,Martha McSally,21732,AZ,,
Pima,U.S. House,2,DEM,Ron Barber,94861,AZ,,
Pima,U.S. House,2,NONE,Sampson U. Ramirez,54,AZ,,
Pima,U.S. House,2,REP,Sydney Dudikoff,43,AZ,,
Pima,U.S. House,2,REP,Martha McSally,87972,AZ,,
Maricopa,U.S. House,3,DEM,Raul Grijalva,14052,AZ,,
Maricopa,U.S. House,3,IND,F. Sanchez,3,AZ,,
Maricopa,U.S. House,3,REP,Gabby Saucedo Mercer,16010,AZ,,
Maricopa,U.S. House,3,MRK,Lee Thompson,2,AZ,,
Pima,U.S. House,3,DEM,Raul Grijalva,30980,AZ,,
Pima,U.S. House,3,IND,F. Sanchez,32,AZ,,
Pima,U.S. House,3,REP,Gabby Saucedo Mercer,19611,AZ,,
Pima,U.S. House,3,MRK,Lee Thompson,6,AZ,,
Pinal,U.S. House,3,DEM,Raul Grijalva,61,AZ,,
Pinal,U.S. House,3,IND,F. Sanchez,0,AZ,,
Pinal,U.S. House,3,REP,Gabby Saucedo Mercer,5,AZ,,
Pinal,U.S. House,3,MRK,Lee Thompson,0,AZ,,
Santa Cruz,U.S. House,3,DEM,Raul Grijalva,5841,AZ,,
Santa Cruz,U.S. House,3,IND,F. Sanchez,0,AZ,,
Santa Cruz,U.S. House,3,REP,Gabby Saucedo Mercer,3552,AZ,,
Santa Cruz,U.S. House,3,MRK,Lee Thompson,0,AZ,,
Yuma,U.S. House,3,DEM,Raul Grijalva,7258,AZ,,
Yuma,U.S. House,3,IND,F. Sanchez,8,AZ,,
Yuma,U.S. House,3,REP,Gabby Saucedo Mercer,7007,AZ,,
Yuma,U.S. House,3,MRK,Lee Thompson,0,AZ,,
Gila,U.S. House,4,DEM,Mike Weisser,2222,AZ,,
Gila,U.S. House,4,LBT,Chris Rike,437,AZ,,
Gila,U.S. House,4,REP,Paul Gosar,7306,AZ,,
La Paz,U.S. House,4,DEM,Mike Weisser,799,AZ,,
La Paz,U.S. House,4,LBT,Chris Rike,167,AZ,,
La Paz,U.S. House,4,REP,Paul Gosar,2447,AZ,,
Maricopa,U.S. House,4,DEM,Mike Weisser,2566,AZ,,
Maricopa,U.S. House,4,LBT,Chris Rike,479,AZ,,
Maricopa,U.S. House,4,REP,Paul Gosar,7657,AZ,,
Mohave,U.S. House,4,DEM,Mike Weisser,10280,AZ,,
Mohave,U.S. House,4,LBT,Chris Rike,1934,AZ,,
Mohave,U.S. House,4,REP,Paul Gosar,33472,AZ,,
Pinal,U.S. House,4,DEM,Mike Weisser,9347,AZ,,
Pinal,U.S. House,4,LBT,Chris Rike,1479,AZ,,
Pinal,U.S. House,4,REP,Paul Gosar,20035,AZ,,
Yavapai,U.S. House,4,DEM,Mike Weisser,16946,AZ,,
Yavapai,U.S. House,4,LBT,Chris Rike,2531,AZ,,
Yavapai,U.S. House,4,REP,Paul Gosar,42948,AZ,,
Yuma,U.S. House,4,DEM,Mike Weisser,3019,AZ,,
Yuma,U.S. House,4,LBT,Chris Rike,413,AZ,,
Yuma,U.S. House,4,REP,Paul Gosar,8695,AZ,,
Maricopa,U.S. House,5,DEM,James Woods,54596,AZ,,
Maricopa,U.S. House,5,REP,Matt Salmon,124867,AZ,,
Maricopa,U.S. House,6,DEM,W. John Williamson,70198,AZ,,
Maricopa,U.S. House,6,REP,David Schweikert,129578,AZ,,
Maricopa,U.S. House,7,AEL,Rebecca DeWitt,3858,AZ,,
Maricopa,U.S. House,7,DEM,Ruben Gallego,54235,AZ,,
Maricopa,U.S. House,7,DEM,Gustavo Ortega,17,AZ,,
Maricopa,U.S. House,7,IND,Samuel Esquivel,4,AZ,,
Maricopa,U.S. House,7,JOS,Jose_ Pen_alosa ,3496,AZ,,
Maricopa,U.S. House,7,LBT,Joe Cobb,10715,AZ,,
Maricopa,U.S. House,7,REP,Gary Dunn,129,AZ,,
Maricopa,U.S. House,8,AEL,Stephen Dolgos,41066,AZ,,
Maricopa,U.S. House,8,REP,Trent Franks,128710,AZ,,
Maricopa,U.S. House,9,DEM,Kyrsten Sinema,88609,AZ,,
Maricopa,U.S. House,9,LBT,Powell Gammill,5612,AZ,,
Maricopa,U.S. House,9,REP,Wendy Rogers,67841,AZ,,
Bacon,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",1884,GA,,
Brantley,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",2556,GA,,
Bryan,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",6057,GA,,
Camden,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",6893,GA,,
Charlton,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",1465,GA,,
Chatham,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",33972,GA,,
Clinch,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",853,GA,,
Echols,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",534,GA,,
Effingham,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",6368,GA,,
Glynn,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",13953,GA,,
Liberty,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",3671,GA,,
Long,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",1378,GA,,
Lowndes,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",503,GA,,
McIntosh,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",2265,GA,,
Pierce,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",3429,GA,,
Ware,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",4831,GA,,
Wayne,U.S. House,1,R,"E. L. ""BUDDY"" CARTER",4725,GA,,
Bacon,U.S. House,1,D,BRIAN CORWIN REESE,334,GA,,
